#{"t_start": 1741831156.5895624, "env_id": "None"}
r,l,t
-928.401328,513,2170.524343
-532.984093,513,2178.123553
-534.355935,513,2185.731413
-529.622418,513,2193.273662
-231.665529,513,2200.861133
155.732338,513,2214.117304
-280.518726,513,2221.612443
1200.001531,513,2229.233351
2300.04525,513,2236.980407
748.82434,513,2244.811586
3273.328416,513,2252.669311
2889.152103,513,2260.461959
1248.569445,513,2268.357017
3215.044634,513,2276.21012
2530.250491,513,2284.048202
-1796.291008,513,2291.948289
-723.28486,513,2299.835401
548.158201,513,2307.749634
-413.349624,513,2315.639829
-1104.787253,513,2329.395283
-666.648404,513,2337.131506
-388.199234,513,2344.815112
388.014502,513,2352.609752
-194.351487,513,2360.480635
-366.522264,513,2368.390315
-917.3236,513,2376.276507
-576.346378,513,2385.82391
-756.489728,513,2392.008535
-1461.153306,513,2399.710532
-1208.214376,513,2407.336601
-459.737058,513,2416.552047
899.77383,513,2422.529359
-589.625624,513,2430.159477
834.928383,513,2443.481377
-564.300052,513,2450.939954
-256.698901,513,2458.455719
1621.812553,513,2466.033063
1292.115834,513,2473.840315
510.565975,513,2481.654143
-486.060989,513,2489.484732
-897.53736,513,2497.368531
-1758.258864,513,2505.237262
-1429.32349,513,2512.943197
-1390.946048,513,2520.579004
-1818.815143,513,2528.165795
-1843.804451,513,2535.543376
-1127.334639,513,2542.747301
-1100.818621,513,2555.275957
-846.128275,513,2562.41742
-1456.604217,513,2569.52038
-1098.862016,513,2576.593313
-1581.251034,513,2583.631479
-2137.093226,513,2590.607958
-2607.088142,513,2597.504273
-2559.102544,513,2604.280194
-1661.154363,513,2610.955445
-829.48879,513,2617.508818
-1411.315177,513,2624.037338
-1624.009937,513,2630.584362
-1106.587764,513,2637.143106
-1759.090537,513,2643.714575
-1030.429363,513,2655.181009
-1544.613679,513,2661.763893
-898.901114,513,2668.357347
-782.569698,513,2674.947975
-893.006618,513,2681.54699
-1511.984576,513,2688.13137
-1317.336107,513,2695.448564
-1206.074007,513,2701.257903
-1462.087244,513,2707.815526
-731.160586,513,2714.368738
-907.597118,513,2721.117151
30077.503172,513,2727.944592
42.38211,513,2735.531825
1694.101205,513,2743.256701
-924.829312,513,2757.061454
-1078.115383,513,2764.92249
-2792.05166,513,2772.584753
-1688.49222,513,2780.110015
-1279.694257,513,2787.564188
-2397.271105,513,2794.817917
-1780.366486,513,2801.956135
-1579.098996,513,2809.047104
-271.058532,513,2817.491005
-1608.746595,513,2823.165079
-744.278305,513,2830.164292
-1314.864991,513,2837.186951
-1017.674785,513,2845.500769
-2002.840846,513,2851.183845
-1362.099127,513,2863.177751
-2227.889495,513,2869.95101
-1523.633773,513,2876.508387
-1645.39821,513,2883.021427
-2402.490899,513,2889.539024
-2160.366465,513,2896.076686
-1146.233538,513,2902.623
-1037.69468,513,2909.166645
-1699.207609,513,2915.686796
-1024.933452,513,2922.204606
-720.840617,513,2928.711851
-1587.368473,513,2935.213731
-414.893579,513,2941.716471
-1795.197963,513,2948.234594
-1074.125439,513,2959.599478
-1347.149725,513,2966.111537
-2315.52942,513,2972.580662
-1124.622618,513,2979.066854
-632.044071,513,2985.566036
-845.514342,513,2992.078766
-103.951521,513,2998.577429
-1016.351393,513,3005.030972
-1463.831625,513,3011.359771
-1596.569686,513,3017.555804
-613.193408,513,3023.650338
-1112.510762,513,3029.709066
-2025.857178,513,3035.709981
-1669.915679,513,3041.67635
-1522.087249,513,3052.010586
-700.677833,513,3057.90793
-714.524282,513,3063.792121
-1267.913025,513,3069.682407
-1354.306117,513,3075.547634
-2161.899212,513,3081.414972
-1010.651355,513,3087.279564
-1058.21401,513,3093.385657
-664.728908,513,3098.966822
-1122.723342,513,3104.800844
-943.524434,513,3110.641924
-1070.940179,513,3116.741887
-1013.552201,513,3122.355498
-869.133151,513,3128.233926
-1284.440247,513,3138.517793
55081.297143,513,3145.068315
600.303812,513,3152.560357
1050.834946,513,3160.128274
1673.950085,513,3167.862082
-112.896123,513,3176.376719
-1088.112511,513,3183.370279
-1299.928298,513,3191.134825
360.379299,513,3198.824374
-1377.251058,513,3207.357226
61.617246,513,3214.204089
59.575341,513,3222.024389
-933.327669,513,3229.924749
-1160.381156,513,3238.357234
-549.690926,513,3251.29135
-524.831145,513,3259.007266
-944.706403,513,3266.688135
-810.395473,513,3274.332267
-1354.378009,513,3281.919343
-1824.795799,513,3289.429648
-1642.55068,513,3296.841569
-1549.248519,513,3304.079569
-2786.669842,513,3311.18983
-2942.611837,513,3318.158251
-1065.969722,513,3325.043044
-1725.850332,513,3331.888123
-2172.411087,513,3338.648421
-1029.254847,513,3345.294887
-693.961123,513,3356.885019
-1185.748906,513,3363.480945
-1113.729052,513,3369.997175
-602.800327,513,3376.439973
-1009.546044,513,3382.861859
-1435.417381,513,3389.246443
-1708.374606,513,3395.609443
-1266.054931,513,3401.96315
-1236.612425,513,3408.30724
-633.628052,513,3414.645921
-837.378605,513,3420.999039
-587.47017,513,3427.372829
-1102.552564,513,3433.749276
-1158.565001,513,3440.142686
-921.020993,513,3451.311442
40.349722,513,3457.742114
-638.295009,513,3464.197095
-599.583155,513,3470.665344
-2022.526658,513,3477.146055
-1497.347959,513,3483.654227
-1191.996897,513,3490.182553
-615.796628,513,3496.719989
6.054858,513,3503.25878
-1154.495878,513,3509.782668
-1224.339964,513,3516.308661
-1335.880045,513,3522.857918
-1262.036837,513,3529.410542
-1046.117757,513,3535.963373
-1180.160798,513,3547.399121
-2459.814493,513,3553.916992
-1125.147163,513,3560.312096
-1404.522132,513,3566.623454
-861.571288,513,3572.840404
-803.496878,513,3579.024522
39999.014823,513,3586.637105
1520.601715,513,3594.067633
-648.609483,513,3602.042943
-974.392853,513,3610.037256
-1306.881241,513,3618.283216
-1129.710741,513,3625.760421
-1051.009842,513,3633.464995
-1125.988311,513,3641.11445
-890.035825,513,3654.368669
-19.707308,513,3661.95845
-263.27852,513,3669.606365
-1450.241525,513,3677.18937
-977.546242,513,3684.673733
-1215.094629,513,3692.088594
-2149.130565,513,3699.346777
-2691.865072,513,3706.528789
-1497.540309,513,3715.659394
-1226.490518,513,3720.732638
-649.210608,513,3727.77586
-769.104277,513,3734.793109
